транскрипция;орфография;часть речи;английский перевод;русский перевод
?u?a;гъугъа;n;duodenum;двенадцатиперстная кишка
NOM.PL: ?u?ne;NOM.PL: гъугъне;;;
?al??ala k'aw?;шалъвала кIавъ;n;armpit;подмышка
NOM.PL: ?al??ala k'aw?ane;NOM.PL: шалъвала кIавъане;;;
?iq';шикъ;n;hoof (of a cow, ram);копыто (коровы, барана)
NOM.PL: ?iq'ane;NOM.PL: шикъане;;;
sersit'ani;серситIани;n;moustache;ус
NOM.PL: sersit'une;NOM.PL: серситIуне;;;
t'ul;тIул;n;finger;палец руки
NOM.PL: t'ule;NOM.PL: тIуле;;;
t'inx;тIинхь;n;pimple;прыщ
NOM.PL: t'inxbe;NOM.PL: тIинхьбе;;;
um?et';умхетI;n;maw;сычуг
urcec';урцецI;n;kindney;почка
NOM.PL: urcec'une;NOM.PL: урцецIуне;;;
urdur;урдур;n;hip;бедро
NOM.PL: urdurbe;NOM.PL: урдурбе;;;
urk'i;уркIи;n;heart;сердце
NOM.PL: urk'be;NOM.PL: уркIбе;;;
?amalag;хамалаг;n;brawn;туша
NOM.PL: ?amalagune;NOM.PL: хамалагуне;;;
??arhala;хваргьала;n;lung;легкое
NOM.PL: ?urh?le, ??arhult;NOM.PL: хургьвле, хваргьулт;;;
?unk';хункI;n;fist;кулак
NOM.PL: ?unk'ane;NOM.PL: хункIане;;;
zilik';зиликI;n;shin;голень
NOM.PL: zilk'me;NOM.PL: зилкIме;;;
abaj;абай;n;mother;мать
NOM.PL: abajqale;NOM.PL: абайхъале;;;
adaj;адай;n;father;отец
NOM.PL: adajqale;NOM.PL: адайхъале;;;
q'unek'ari;къунекIари;n;second cousin;троюродный брат, сестра
NOM.PL: q'umbuk'ure;NOM.PL: къумбукIуре;;;
ruzi;рузи;n;sister;сестра
NOM.PL: ruzbe;NOM.PL: рузбе;;;
ruziq'ari;рузикъари;n;cousin (sister);двоюродная сестра
NOM.PL: ruzbuq'ure;NOM.PL: рузбукъуре;;;
uzi;узи;n;brother;брат
NOM.PL: uzbe;NOM.PL: узбе;;;
uziq'ari;узикъари;n;cousin (brother);двоюродный брат
NOM.PL: uzbuq'ure;NOM.PL: узбукъуре;;;
adami;адами;n;man;мужчина, муж
NOM.PL: adamule;NOM.PL: адамуле;;;
askar (azkar);аскар (азкар);n;armed cohort;вооруженный отряд
NOM.PL: askart (azkart);NOM.PL: аскарт (азкарт);;;
bec';бецI;n;wolf;волк
NOM.PL: buc'e;NOM.PL: буцIе;;;
buk'un;букIун;n;shepherd;овечий пастух
NOM.PL: buk'unume, buk'unt;NOM.PL: букIунуме, букIунт;;;
bu?a;бугъа;n;ox;бык-производитель
NOM.PL: bu?ne;NOM.PL: бугъне;;;
?ibiq'ari;чибикъари;n;sheep (1-3 years old);овца (1-3 года)
NOM.PL: ?ibiq'urt, ?ibiq'ure;NOM.PL: чибикъурт, чибикъуре;;;
dakda;дакда;n;rooster;петух
NOM.PL: dakdube, dakdne;NOM.PL: дакдубе, дакдне;;;
dawa;дава;n;hornless male goat;безрогий козел
NOM.PL: dawne;NOM.PL: давне;;;
do?r?o?;дoIрхIoI;n;animal's cub;детеныш животного
NOM.PL: do?r?ne, do?r?be;NOM.PL: дoIрхIне, дoIрхIбе;;;
dulaj;дулай;n;lamb (2-3 months old);ягненок (2-3 месяца)
NOM.PL: dul?me;NOM.PL: дулъме;;;
dursi;дурси;n;daughter (girl);дочь (девочка)
NOM.PL: dursbe;NOM.PL: дурсбе;;;
eli;эли;n;child;ребенок
NOM.PL: ule;NOM.PL: уле;;;
enc'er;энцIер;n;deer;олень
NOM.PL: enc'ert;NOM.PL: енцIерт;;;
e?a;эжа;n;female goat;коза
NOM.PL: e?me;NOM.PL: ежме;;;
ge?ba;гежба;n;goatling (younger than a year);козленок (до года)
NOM.PL: gu?be;NOM.PL: гужбе;;;
?a?r??a;гIяргIва;n;hen;курица
NOM.PL: ?a?r??ne;NOM.PL: гIяргIвне;;;
?o?ri, ?ari;гIоIри, гIари;n;hare;заяц
NOM.PL: ?o?rme, ?arme;NOM.PL: гIoIрме, гIарме;;;
?u??ruq';гIуIжрукъ;n;hedgehog;еж
NOM.PL: ?u??ruq'une;NOM.PL: гIуIжрукъуне;;;
gurda;гурда;n;fox;лиса
NOM.PL: gurdne;NOM.PL: гурдне;;;
g?aza;гваза;n;mare;кобыла
NOM.PL: g?azne;NOM.PL: гвазне;;;
g?a?a;гважа;n;bitch;сука
NOM.PL: g?a?ne;NOM.PL: гважне;;;
ham?aluq;гьамхIалухъ;n;mule;мул
NOM.PL: ham?aluqune;NOM.PL: гьамхIалухъуне;;;
?anq'akan;хIанкъакан;n;cattleman;пастух скота
NOM.PL: ?anq'akule;NOM.PL: хIанкъакуле;;;
insan;инсан;n;man;человек
NOM.PL: insant;NOM.PL: инсант;;;
irqi?i;ирхъичи;n;horse wrangler;пастух табуна
