транскрипция;орфография;часть речи;английский перевод;русский перевод
hab: wi?an, bi?an;hab: виъан, биъан;;;
inf pfv: wa?es;inf pvf: ваъес;;;
aor: ber?ib, der?ib;aor: берхIиб, дерхIиб;v;rotten;испортиться (об овощах, о сене)
hab: du?an, bu?an;hab: духIан, бухIан;;;
inf pfv: der?es;inf pvf: дерхIес;;;
aor: dit?un, bit?un;aor: дитIун, битIун;v;take out;вынуть, открыть
ipf: bilt?ib, dilt?ib;ipf: билтIиб, дилтIиб;;;
inf pfv: bit?es;inf pvf: битIес;;;
aor: burhib, durhib;aor: бургьиб, дургьиб;v;tell;рассказывать
ipf: durhib;ipf: дургьиб;;;
inf pfv: burhes;inf pvf: бургьес;;;
aor: burdib, durdib;aor: бурдиб, дурдиб;v;become worn;износиться, порваться, рвать (траву), срывать (яблоко)
ipf: udib;ipf: удиб;;;
inf pfv: burdes;inf pvf: бурдес;;;
aor: ukib, bukib;aor: укиб, букиб;v;lead (away);уводить
ipf: dikib, wikib;ipf: дикиб, викиб;;;
aor: umcur;aor: умцур;v;weight, measure;весить
ipf: umcib;ipf: умциб;;;
inf pfv: umces;inf pvf: умцес;;;
aor: ajzur, adizur, ad?ajzur, ad?adizur;aor: айзур, адизур, адхIайзур, адхIадизур;v;stand up;встать
ipf: alzib, adilzib, ad?alzib, ad?adilzib;ipf: алзиб, адилзиб, адхIалзиб, адхIадилзиб;;;
inf pfv: ajzes, adizes;inf pvf: айзес, адизес;;;
aor: izes ba?ib;aor: изес ба(ъ)иб;v;be ill;болеть
ipf: izib;ipf: изиб;;;
inf pfv: izes ba?es;inf pvf: изес ба(ъ)ес;;;
